Underlying,quarter,1Year,1month,3month,6month,industry,sector,current_ratio,total_debt_equity_ratio,day_sales_outstanding,total_liabilities_total_assets,gross_margin,operating_margin,interest_coverage_ratio,net_profit_margin,roe,changeInCash,changeToLiabilities,changeToNetincome,changeToOperatingActivities,return_factor
VALE,6/30/2018,0.594285714,0.09929078,0.098425197,0.357003891,Industrial Metals & Minerals,Basic Materials,1.683718698,0.219033485,167.0394442,0.513204925,0.376864955,0.335051546,0.335051546,0.009797016,0.335051546,0.273486175,-0.001176079,27.04248366,0.133007979,flat
VC,9/30/2017,0.566970647,0.111706429,0.116673436,0.195976074,Auto Parts,Consumer Cyclical,1.97037037,1.317073171,308.6993464,0.678367705,0.151633987,0.081045752,0.081045752,0.05620915,0.081045752,0.00273224,-0.01228978,0.069767442,-0.333333333,flat
VC,12/31/2017,0.820746269,-0.016209677,0.093786425,0.184598951,Auto Parts,Consumer Cyclical,2.001248439,1.257456829,305.0062735,0.669704861,0.096612296,0.016311167,0.016311167,0.031367629,0.016311167,-0.036827195,-0.009721322,2.12,0.058139535,flat
VC,3/31/2018,0.328740788,-0.025916066,-0.036850662,0.091986307,Auto Parts,Consumer Cyclical,1.800508259,1.555335968,285.6326781,0.713286713,0.158476658,0.092137592,0.092137592,0.07985258,0.092137592,-0.349904398,0.019607843,-0.123076923,-0.864197531,flat
VEEV,10/31/2017,0.664261788,0.033605377,0.046161322,0.460981678,Health Information Services,Technology,3.947137859,0.261891729,158.0895151,0.217687361,0.697778585,0.236549739,0.236549739,0.195249476,0.236549739,-0.316702918,-0.210122592,0.402669148,0.037166879,down
VEEV,1/31/2018,0.339128419,-0.058353708,-0.008070055,-0.11286855,Health Information Services,Technology,3.203727008,0.361062824,461.3469411,0.271912134,0.68139023,0.188660981,0.188660981,0.182274401,0.188660981,0.029317609,0.312623471,0.615380051,3.917827298,down
VEEV,4/30/2018,0.406207522,0.029011936,-0.011781563,0.112166278,Health Information Services,Technology,3.380564394,0.334784086,321.9347523,0.260476377,0.692375746,0.224784834,0.224784834,0.226595141,0.224784834,0.304311456,0.071764884,0.384585872,-0.041976292,up
VEEV,7/31/2018,0.263631898,0.092131333,0.253777417,0.230781499,Health Information Services,Technology,3.910832219,0.280526212,220.4045628,0.230263698,0.717445339,0.251983455,0.251983455,0.239903821,0.251983455,0.100632163,-0.101360211,0.397506264,-0.088085886,flat
VMC,9/30/2017,0.047545353,-0.04168633,-0.051459712,-0.050572742,Building Materials,Basic Materials,4.222809337,0.088300356,193.1175968,0.503658415,0.279082684,0.209368648,0.209368648,0.099184719,0.209368648,-0.611321476,0,0.444349276,0.0321391,flat
VMC,12/31/2017,0.046885813,0.020490767,0.007240949,-0.057035998,Building Materials,Basic Materials,1.488387785,0.159567131,219.6881861,0.477227777,0.248893595,0.149519688,0.149519688,0.33508885,0.149519688,-3.978580405,0,-0.469830192,-0.026527374,flat
VMC,3/31/2018,0.084152384,-0.012503699,0.077065849,0.149711431,Building Materials,Basic Materials,1.733562258,0.11872218,209.0691349,0.480260199,0.186470273,0.093647086,0.093647086,0.062001887,0.093647086,-2.625311345,0,-1.534230544,0.428448498,down
VMC,6/30/2018,-0.115142079,-0.006555371,-0.1605613,-0.068131508,Building Materials,Basic Materials,1.457511493,0.161692059,194.068588,0.490021315,0.269286115,0.194764659,0.194764659,0.133026594,0.194764659,0.265188253,0,0.20515872,-0.521067662,up
VNO,9/30/2017,-0.261173184,-0.154952077,-0.175841296,-0.257509123,REIT - Office,Real Estate,5.68547871,0.118534939,675.8922601,0.628415128,0.571068184,0.304056524,0.304056524,-0.024556954,0.304056524,-0.13407501,0.002733695,-12.401225,0.190490666,flat
VNO,12/31/2017,-0.206446662,-0.060122062,-0.089674255,-0.248468487,REIT - Office,Real Estate,6.966204164,0.122027569,661.6246063,0.655554619,0.584797581,0.311115771,0.311115771,0.081549012,0.311115771,0.291050282,-0.002091046,1.449607507,0.035911282,flat
VNO,3/31/2018,-0.364960075,-0.060066741,-0.101780494,-0.107355077,REIT - Office,Real Estate,4.790331271,0.147680718,692.9206481,0.651225359,0.523444092,0.234623367,0.234623367,0.018396467,0.234623367,-0.374227804,0.001806042,7.978719008,0.224607977,flat
VNO,6/30/2018,-0.293121363,0.018413174,-0.043851019,-0.067826802,REIT - Office,Real Estate,4.752298685,0.139886744,665.4975526,0.65127481,0.568915057,0.304315797,0.304315797,0.225672143,0.304315797,-0.188953704,-0.002810426,0.001950543,9.258754864,flat
VNOM,9/30/2017,0.071383845,0.098908157,0.005293803,0.037598545,Oil & Gas E&P,Energy,8.900945047,0.003140044,178.8828674,0.040451711,0.928761197,0.636376461,0.636376461,0.625561329,0.636376461,0.636322668,0.018301744,0.018867215,0.003066544,flat
VNOM,12/31/2017,0.141527002,-0.010758472,0.053264605,0.072928821,Oil & Gas E&P,Energy,9.850417481,0.006159263,190.4069159,0.097853287,0.94534495,0.723077702,0.723077702,0.710329923,0.723077702,0.816588833,0.009391803,0.008462087,-0.00511492,flat
VNOM,3/31/2018,0.400589971,0.01888412,0.198384654,0.345804989,Oil & Gas E&P,Energy,21.60785886,0.002811551,206.9618387,0.215029614,0.927812415,0.699645794,0.699645794,0.687513022,0.699645794,-0.333094595,-0.00520589,0.009068445,-0.000121921,flat
VNOM,6/30/2018,0.706815511,0.141453831,0.19892695,0.528947368,Oil & Gas E&P,Energy,23.68367681,0.00788299,189.9891172,0.268208044,0.93350852,0.728194511,0.728194511,1.319265276,0.728194511,0.448063006,0.002336733,-0.472838115,0.000269841,up
