,Underlying,timestamp,quarter
775,CVS,2018-02-08,2018-03-31
776,CVS,2018-05-02,2018-06-30
777,CVX,2017-07-28,2017-09-30
778,CVX,2017-10-27,2017-12-31
779,CVX,2018-02-02,2018-03-31
780,CVX,2018-04-27,2018-06-30
785,CX,2017-07-26,2017-09-30
786,CX,2017-10-25,2017-12-31
787,CX,2018-02-09,2018-03-31
790,CY,2017-10-27,2017-12-31
793,CYBR,2017-08-09,2017-09-30
794,CYBR,2017-11-02,2017-12-31
795,CYBR,2018-02-15,2018-03-31
796,CYBR,2018-05-04,2018-06-30
797,CYH,2017-08-02,2017-09-30
798,CYH,2017-11-02,2017-12-31
799,CYH,2018-02-28,2018-03-31
801,CZR,2017-08-04,2017-09-30
802,CZR,2017-11-02,2017-12-31
805,D,2017-08-02,2017-09-30
807,D,2018-01-29,2018-03-31
808,D,2018-04-27,2018-06-30
809,DAL,2017-07-13,2017-09-30
810,DAL,2017-10-11,2017-12-31
813,DAR,2017-08-10,2017-09-30
815,DAR,2018-02-28,2018-03-31
816,DAR,2018-05-10,2018-06-30
817,DATA,2017-08-03,2017-09-30
818,DATA,2017-11-03,2017-12-31
819,DATA,2018-02-02,2018-03-31
820,DATA,2018-05-03,2018-06-30
821,DB,2017-07-27,2017-09-30
822,DB,2017-10-26,2017-12-31
825,DDD,2017-08-03,2017-09-30
826,DDD,2017-11-01,2017-12-31
827,DDD,2018-03-01,2018-03-31
828,DDD,2018-05-03,2018-06-30
837,DECK,2017-07-28,2017-09-30
838,DECK,2017-10-27,2017-12-31
839,DECK,2018-02-02,2018-03-31
840,DECK,2018-05-25,2018-06-30
841,DFS,2017-07-27,2017-09-30
842,DFS,2017-10-25,2017-12-31
843,DFS,2018-01-25,2018-03-31
844,DFS,2018-04-27,2018-06-30
849,DHI,2017-07-26,2017-09-30
850,DHI,2017-11-09,2017-12-31
851,DHI,2018-01-31,2018-03-31
852,DHI,2018-04-26,2018-06-30
853,DIN,2017-08-10,2017-09-30
854,DIN,2017-11-09,2017-12-31
855,DIN,2018-02-20,2018-03-31
856,DIN,2018-05-02,2018-06-30
857,DIS,2017-08-09,2017-09-30
859,DIS,2018-02-07,2018-03-31
860,DIS,2018-05-09,2018-06-30
861,DISCA,2017-08-08,2017-09-30
862,DISCA,2017-11-02,2017-12-31
863,DISCA,2018-02-27,2018-03-31
864,DISCA,2018-05-08,2018-06-30
865,DISH,2017-08-03,2017-09-30
866,DISH,2017-11-09,2017-12-31
867,DISH,2018-02-21,2018-03-31
868,DISH,2018-05-08,2018-06-30
877,DM,2017-08-02,2017-09-30
878,DM,2017-10-30,2017-12-31
879,DM,2018-01-29,2018-03-31
880,DM,2018-04-27,2018-06-30
881,DNKN,2017-07-27,2017-09-30
883,DNKN,2018-02-06,2018-03-31
884,DNKN,2018-04-26,2018-06-30
885,DNR,2017-08-08,2017-09-30
886,DNR,2017-11-07,2017-12-31
887,DNR,2018-02-22,2018-03-31
888,DNR,2018-05-08,2018-06-30
889,DOV,2017-07-20,2017-09-30
890,DOV,2017-10-19,2017-12-31
891,DOV,2018-01-30,2018-03-31
894,DPZ,2017-10-12,2017-12-31
901,DRRX,2017-08-09,2017-09-30
903,DRRX,2018-03-13,2018-03-31
904,DRRX,2018-05-09,2018-06-30
909,DUK,2017-08-03,2017-09-30
910,DUK,2017-11-03,2017-12-31
911,DUK,2018-02-20,2018-03-31
912,DUK,2018-05-10,2018-06-30
913,DVA,2017-08-02,2017-09-30
914,DVA,2017-11-08,2017-12-31
915,DVA,2018-02-14,2018-03-31
916,DVA,2018-05-04,2018-06-30
917,DVAX,2017-08-02,2017-09-30
918,DVAX,2018-05-08,2017-12-31
925,DVN,2017-08-02,2017-09-30
926,DVN,2017-11-01,2017-12-31
927,DVN,2018-02-21,2018-03-31
928,DVN,2018-05-02,2018-06-30
935,DXC,2018-02-09,2018-03-31
936,DXC,2018-05-25,2018-06-30
941,EA,2017-07-28,2017-09-30
942,EA,2017-11-01,2017-12-31
943,EA,2018-01-31,2018-03-31
944,EA,2018-05-09,2018-06-30
945,EBAY,2017-07-21,2017-09-30
946,EBAY,2017-10-19,2017-12-31
947,EBAY,2018-02-01,2018-03-31
948,EBAY,2018-04-26,2018-06-30
949,ECL,2017-08-01,2017-09-30
950,ECL,2017-10-31,2017-12-31
951,ECL,2018-02-20,2018-03-31
952,ECL,2018-05-01,2018-06-30
953,ECYT,2017-08-09,2017-09-30
954,ECYT,2017-11-07,2017-12-31
956,ECYT,2018-05-09,2018-06-30
957,ED,2017-08-04,2017-09-30
958,ED,2017-11-03,2017-12-31
959,ED,2018-02-16,2018-03-31
960,ED,2018-05-04,2018-06-30
961,EDIT,2017-08-10,2017-09-30
963,EDIT,2018-03-07,2018-03-31
964,EDIT,2018-05-04,2018-06-30
969,EFX,2017-07-27,2017-09-30
971,EFX,2018-03-02,2018-03-31
972,EFX,2018-04-26,2018-06-30
973,EIGI,2017-08-01,2017-09-30
974,EIGI,2017-10-31,2017-12-31
975,EIGI,2018-02-13,2018-03-31
976,EIGI,2018-05-01,2018-06-30
977,EIX,2017-07-28,2017-09-30
